chrom id pos type region_tag1 region_tag2 cs_index susie_pip mu2
1 1 ATAD3C 1436079 gene 1 1 0 0.0535442551411476 5.38241740537071
2 1 RER1 2290738 gene 1 2 0 0.0372550113569919 8.06140967236058
3 1 SPSB1 9519905 gene 1 7 0 0.0876139235617402 5.0362707566406
4 1 MAD2L2 11693757 gene 1 8 0 0.0809744398659605 8.97122592765699
5 1 CROCC 17134229 gene 1 12 0 0.114792101549916 11.568629864372
6 1 NBPF3 21449004 gene 1 15 0 0.0755258457689417 6.91644094012432
7 1 FUCA1 23834287 gene 1 17 0 0.125619997528488 12.2043131108471
8 1 CLIC4 25031720 gene 1 17 0 0.0851143578868663 8.57237728871612
9 1 SERINC2 31408625 gene 1 20 0 0.033792658328984 9.12174851609302
10 1 MARCKSL1 32433929 gene 1 21 0 0.0520016640635087 5.24548424208263
11 1 STK40 36207757 gene 1 22 0 0.0261984462509096 6.27113900650614
12 1 GNL2 37522652 gene 1 23 0 0.095643537290614 10.13723643596
13 1 TRIT1 39757456 gene 1 25 0 0.0235265703026203 6.89610585036519
14 1 MFSD2A 39830208 gene 1 25 0 0.160216814515188 23.2594292371116
15 1 ZNF691 43058596 gene 1 26 0 0.073736980421121 6.5321519929303
16 1 PTCH2 44710502 gene 1 28 0 0.094266975985935 4.95811606848903
17 1 MROH7 54769314 gene 1 34 0 0.0315104307148072 4.87550017522016
18 1 LRRC42 54142679 gene 1 34 0 0.0303808169616855 4.54556008473355
19 1 PRKAA2 56643987 gene 1 36 0 0.0397229968236077 5.71447590597917
20 1 ANGPTL3 62817783 gene 1 39 0 0.0555538714483285 5.32632991175596
21 1 CACHD1 64510568 gene 1 40 0 0.0532606333305377 4.62208222574461
22 1 LEPR 65503379 gene 1 41 0 0.0327307259816554 5.32155930704911
23 1 LRRC40 70410592 gene 1 44 0 0.0758136128285626 8.04105012548337
24 1 FPGT 74238829 gene 1 47 0 0.0502514752213001 8.55614784123256
25 1 TYW3 74789807 gene 1 47 0 0.0448807623164151 7.52725967289755
26 1 SLC44A5 75473113 gene 1 47 0 0.0524746619015364 8.9507964921412
27 1 SPATA1 84464483 gene 1 52 0 0.0433842419016649 4.48282841934163
28 1 ODF2L 86465846 gene 1 53 0 0.0784201299741202 8.68106988652109
29 1 GBP2 89045873 gene 1 54 0 0.0546162935874015 4.77051789353967
30 1 HFM1 91224622 gene 1 55 0 0.0362268938854099 7.59073013259039
31 1 CDC7 91556054 gene 1 56 0 0.0569691251720499 4.5236737442903
32 1 SLC44A3 94875888 gene 1 58 0 0.0358082173261499 5.02735235425978
33 1 CELSR2 109070184 gene 1 67 0 0.0501565994774414 6.30753059419255
34 1 SLC25A24 108194680 gene 1 67 0 0.368043208604492 25.1899956088178
35 1 KCND3 111956412 gene 1 69 0 0.151051022264546 18.8872288304743
36 1 TRIM45 117026768 gene 1 72 0 0.0303517077229201 7.73788261087414
37 1 POLR3GL 145917528 gene 1 73 0 0.0462742765407739 8.32408515002163
38 1 S100A10 151985668 gene 1 74 0 0.130632962734212 8.04924441667868
39 1 SCAMP3 155288961 gene 1 76 0 0.0836308950024857 13.0370574717066
40 1 MGST3 165630223 gene 1 81 0 0.326264568470501 22.2646736223912
41 1 ADCY10 167770118 gene 1 82 0 0.0337103827852873 7.08127337330342
42 1 VAMP4 171671748 gene 1 84 0 0.0358507863633788 4.61861392780705
43 1 SLC9C2 173656571 gene 1 85 0 0.0560047070891347 11.1417438009814
44 1 RABGAP1L 174790709 gene 1 85 0 0.0492637091188286 5.40564473411226
45 1 MRPS14 174813385 gene 1 85 0 0.0591401193173236 6.39947244217215
46 1 TNR 175738820 gene 1 86 0 0.0429512906511001 14.2659235363957
47 1 TOR1AIP1 179817250 gene 1 89 0 0.0570697632995 11.5048146537121
48 1 AXDND1 179356371 gene 1 89 0 0.0260218912237825 4.54112711097986
49 1 FAM163A 179578033 gene 1 89 0 0.0380643999330453 7.92365038065308
50 1 RNASEL 182590629 gene 1 90 0 0.0534759340565774 5.84840402890956
51 1 ODR4 186296816 gene 1 92 0 0.0817082251348479 10.4768949723512
52 1 PDC 186318322 gene 1 92 0 0.0480438608588566 5.7323443553763
53 1 NEK7 198323673 gene 1 99 0 0.0534382863998747 5.31333887778775
54 1 KLHL12 202940534 gene 1 102 0 0.0621636004961451 4.67405909573575
55 1 PM20D1 205798757 gene 1 104 0 0.242052268511604 20.9833897152486
56 1 SERTAD4 210146030 gene 1 106 0 0.0750342539274934 11.4660628365704
57 1 CAMK1G 209397448 gene 1 106 0 0.0351239803724451 4.54294718112136
58 1 LPGAT1 211507488 gene 1 107 0 0.0332827230168894 4.48351806562936
59 1 VASH2 212967056 gene 1 108 0 0.151174578933417 16.6323334567096
60 1 CNIH3 224514811 gene 1 114 0 0.021887055654404 5.0012821117734
61 1 EPHX1 225810609 gene 1 115 0 0.0748755464959043 9.71886143274331
62 1 LEFTY1 225841073 gene 1 115 0 0.04194982785185 4.50661895616351
63 1 SRP9 225571941 gene 1 115 0 0.0507547538293383 6.15304730758284
64 1 ABCB10 229634109 gene 1 117 0 4.10782519111308e-14 5.90154440881829
65 1 IRF2BP2 234596243 gene 1 121 0 0.055537810829062 4.66720031920293
66 1 B3GALNT2 235558528 gene 1 121 0 0.190047695247584 15.9429326740991
67 1 GPR137B 236143525 gene 1 122 0 0.0659196560992577 7.32279288645276
68 1 EFCAB2 245035798 gene 1 129 0 0.0624373371560317 7.71477619281538
69 1 ZNF670 246794212 gene 1 130 0 0.0703601591775748 12.4242006716332
70 1 OR2L13 247868464 gene 1 131 0 0.0680729567565724 8.7428286430926
71 1 OR2L5 247937246 gene 1 131 0 0.0509622372048936 6.09514860125987
72 1 OR2L2 247965627 gene 1 131 0 0.057457450647977 7.18994282923858
73 1 OR2L3 247965627 gene 1 131 0 0.0574574506479771 7.18994282923859
74 1 ZNF695 247185804 gene 1 131 0 0.129384559084034 14.7119063763881
75 2 PXDN 1712059 gene 2 1 0 0.154194178171526 19.4400507550412
76 2 TMEM18 683030 gene 2 1 0 0.0305526616600336 4.51654373863056
77 2 EIPR1 3482230 gene 2 2 0 0.0387889060930275 9.58051423169834
78 2 MYT1L 1783386 gene 2 2 0 0.0215378560513296 4.56272196447872
79 2 RNASEH1 3763349 gene 2 2 0 0.0228342849209902 5.09255188738039
80 2 TAF1B 9843557 gene 2 6 0 0.0437124272378632 6.94591733697172
81 2 HS1BP3 20384009 gene 2 12 0 0.0671089514516445 6.0089832884792
82 2 RHOB 20428970 gene 2 12 0 0.184646487946755 15.5089887350311
